date,total_dex_volume
2017-01-18,9345.0
2017-01-19,7748.0
2017-01-20,3264.0
2017-01-21,3945.0
2017-01-22,6046.0
2017-01-23,3173.0
2017-01-24,1910.76
2017-01-25,7057.0
2017-01-26,5633.0
2017-01-27,11087.0
2017-01-28,8226.0
2017-01-29,11015.0
2017-01-30,3156.0
2017-01-31,9385.0
2017-02-01,10733.0
2017-02-02,3230.0
2017-02-03,10049.0
2017-02-04,7619.0
2017-02-05,21395.0
2017-02-06,13638.0
2017-02-07,6580.0
2017-02-08,7392.0
2017-02-09,4616.0
2017-02-10,12856.0
2017-02-11,8636.0
2017-02-12,7861.0
2017-02-13,8390.0
2017-02-14,22932.0
2017-02-15,26832.0
2017-02-16,14001.0
2017-02-17,15475.0
2017-02-18,10024.0
2017-02-19,2698.0
2017-02-20,8476.0
2017-02-21,8911.0
2017-02-22,6911.0
2017-02-23,5552.0
2017-02-24,9244.0
2017-02-25,10245.0
2017-02-26,5329.0
2017-02-27,5813.0
2017-02-28,8449.0
2017-03-01,10023.0
2017-03-02,18847.0
2017-03-03,7754.0
2017-03-04,4925.31
2017-03-05,9517.0
2017-03-06,9568.0
2017-03-07,5172.93
2017-03-08,8169.0
2017-03-09,6293.0
2017-03-10,6679.0
2017-03-11,3184.0
2017-03-12,13375.0
2017-03-13,11851.0
2017-03-14,13400.0
2017-03-15,4702.0
2017-03-16,13029.0
2017-03-17,7413.0
2017-03-18,6565.0
2017-03-19,8460.0
2017-03-20,3781.0
2017-03-21,7179.0
2017-03-22,7273.0
2017-03-23,8498.0
2017-03-24,9148.0
2017-03-25,9559.0
2017-03-26,5074.0
2017-03-27,7999.0
2017-03-28,5094.0
2017-03-29,22471.0
2017-03-30,6681.0
2017-03-31,4293.0
2017-04-01,17738.0
2017-04-02,34785.0
2017-04-03,11421.0
2017-04-04,7415.0
2017-04-05,5769.0
2017-04-06,5231.49
2017-04-07,5667.0
2017-04-08,2892.0
2017-04-09,6809.0
2017-04-10,10572.0
2017-04-11,6052.0
2017-04-12,10827.0
2017-04-13,12209.0
2017-04-14,3076.0
2017-04-15,6188.0
2017-04-16,5922.0
2017-04-17,10850.0
2017-04-18,7251.0
2017-04-19,8256.0
2017-04-20,9828.0
2017-04-21,16478.0
2017-04-22,5575.0
2017-04-23,8559.0
2017-04-24,20852.0
2017-04-25,15330.0
2017-04-26,18729.0
2017-04-27,20469.0
2017-04-28,6390.0
2017-04-29,18192.0
2017-04-30,20001.0
2017-05-01,18938.0
2017-05-02,11125.0
2017-05-03,12862.0
2017-05-04,16773.0
2017-05-05,10052.0
2017-05-06,10426.0
2017-05-07,6297.0
2017-05-08,31299.0
2017-05-09,27334.0
2017-05-10,20649.0
2017-05-11,29887.0
2017-05-12,13898.0
2017-05-13,10243.0
2017-05-14,15703.0
2017-05-15,4553.0
2017-05-16,13134.0
2017-05-17,2857.0
2017-05-18,7180.0
2017-05-19,11149.0
2017-05-20,32612.0
2017-05-21,32731.0
2017-05-22,30878.0
2017-05-23,27091.0
2017-05-24,57895.0
2017-05-25,30816.0
2017-05-26,35971.0
2017-05-27,13053.0
2017-05-28,17981.0
2017-05-29,11288.0
2017-05-30,10778.0
2017-05-31,30538.0
2017-06-01,32674.0
2017-06-02,27530.0
2017-06-03,43244.0
2017-06-04,30017.0
2017-06-05,28981.0
2017-06-06,18354.0
2017-06-07,45508.0
2017-06-08,6838.0
2017-06-09,62564.0
2017-06-10,47283.0
2017-06-11,14118.0
2017-06-12,25615.0
2017-06-13,33958.0
2017-06-14,29352.27
2017-06-15,4887.0
2017-06-16,9235.0
2017-06-17,14561.0
2017-06-18,14345.0
2017-06-19,2378.0
2017-06-20,41562.0
2017-06-21,34168.0
2017-06-22,19855.0
2017-06-23,18664.0
2017-06-24,99769.0
2017-06-25,9109.0
2017-06-26,11008.74
2017-06-27,8197.0
2017-06-28,9609.0
2017-06-29,772.21
