date,asset,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,dex_volume_z_30d,chain_tvl_z_30d,claim_boundary
2022-11-08,SOL,99.77365717767913,1,1,E002,exchange_failure,high,-0.2034138166526937,0.1085488431847031,3.334917829728622,4.567169321921082,-0.3430589927872434,0.0,3.146989869478346,-1.049962510954104,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-10,SOL,99.76495168451292,0,0,,,,-0.1044421458509519,0.0600328644991745,3.261669162313269,4.245437935195577,-0.2824547942829654,0.0,2.5000864407569785,-1.4258718090686893,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-11,BTC,99.75624619134675,1,1,E001,stablecoin_depeg,high,-0.0696270636865197,0.0477933054854851,2.3662781876531844,2.7431096203378713,-0.3027846234586865,0.0,3.274289373971136,-2.725060037280891,"Top alerts are review candidates, not confirmed fraud cases."
2024-08-05,BNB,99.74754069818054,0,0,,,,-0.0674339144007571,0.0339873126367201,4.405220782524666,4.292596979732654,-0.2280036569300649,0.0,4.169908207502609,-1.9708725160910083,"Top alerts are review candidates, not confirmed fraud cases."
2024-08-05,BTC,99.73883520501437,0,0,,,,-0.0736319858212013,0.0305742089409728,3.539956139026128,4.567495999591928,-0.2089843810359251,0.0,4.169908207502609,-1.6321660794914654,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-09,BTC,99.73012971184818,1,1,E002,exchange_failure,high,-0.1548895481701482,0.070243982136214,2.1558592146957043,3.702687413908257,-0.2538171056328967,0.0,2.927581869113105,-1.2935624770599063,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-21,SOL,99.72142421868199,0,0,,,,-0.1276064305684263,0.0507517692287116,2.3133087204436404,3.0705718592300126,-0.4345169563051548,0.0,3.25450661432458,-1.059064907810772,"Top alerts are review candidates, not confirmed fraud cases."
2023-03-10,USDC,99.7127187255158,1,1,E003,stablecoin_depeg,high,-0.0005291269603334,0.0002340977948746,2.7173723634950093,3.753152448375304,-0.0008158064936313,0.0005210041999815,2.914281026037824,-2.2683330686966587,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-12,SOL,99.70401323234961,0,0,,,,-0.1166248153864071,0.1111852992460885,2.463445406763916,2.548336980200587,-0.5884808064381948,0.0,2.5973990779141833,-3.359870171879337,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-05,BNB,99.69530773918342,1,1,E004,regulatory_action,medium,-0.0972081277089254,0.0360849470093029,3.1436924270723225,4.950980856212945,-0.1390555494773427,0.0,1.594708945631983,-2.328248177702956,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-07,BNB,99.68660224601724,1,1,E004,regulatory_action,medium,-0.0817784212145902,0.0456605829418695,2.6725332758958036,3.077397802765769,-0.1754289889653488,0.0,1.0860447920184837,-2.619459767521614,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-21,BNB,99.67789675285104,0,0,,,,-0.1385591161888681,0.0514707570899949,1.0173734741210096,3.634322571463884,-0.3191509557383463,0.0,3.25450661432458,-2.051173927793082,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-09,BNB,99.66919125968487,1,1,E002,exchange_failure,high,-0.2053704946002081,0.0869800736445557,1.9045699603061612,3.476423651300757,-0.2470419836482454,0.0,2.927581869113105,1.0048031539915605,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-13,BTC,99.66048576651868,0,0,,,,-0.1740525517766702,0.05868743935809,2.8090472311422787,4.381096070334634,-0.2926783777253529,0.0,2.985161426687413,-0.3523267772738092,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-10,SOL,99.65178027335249,1,1,E002,exchange_failure,high,0.2376898115608283,0.2565119347500753,1.9866718931778256,1.1984567158835742,-0.5190795237646614,0.0,2.582073474604977,-4.457720841324681,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-21,BTC,99.6430747801863,0,0,,,,-0.1096046829154406,0.0394256513017463,1.2664196582618643,3.93837227692635,-0.2826497127469989,0.0,3.25450661432458,-1.371295509057522,"Top alerts are review candidates, not confirmed fraud cases."
