check_family,score_family,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
main_weak_label,benchmark_existing_score,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.20869565217391303,0.17142857142857143,17.123478260869565,24,140
main_weak_label,benchmark_existing_score,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.08885017421602788,0.36428571428571427,7.290156794425087,51,140
main_weak_label,benchmark_existing_score,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.05918189730200174,0.4857142857142857,4.855874673629243,68,140
main_weak_label,benchmark_existing_score,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.036134087940792335,0.5928571428571429,2.964801915542011,83,140
main_weak_label,benchmark_existing_score,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.2608695652173913,0.21428571428571427,21.404347826086955,30,140
main_weak_label,benchmark_existing_score,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.10278745644599303,0.42142857142857143,8.433710801393728,59,140
main_weak_label,benchmark_existing_score,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
main_weak_label,benchmark_existing_score,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03221593382673052,0.5285714285714286,2.643317370483239,74,140
main_weak_label,benchmark_existing_score,weak_label_7d,anomaly_ensemble_score,11487,300,0.026116479498563595,0.09541133897945003,0.6652045529036679,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.23478260869565218,0.09,8.989826086956521,27,300
main_weak_label,benchmark_existing_score,weak_label_7d,anomaly_ensemble_score,11487,300,0.026116479498563595,0.09541133897945003,0.6652045529036679,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.12369337979094076,0.23666666666666666,4.736219512195122,71,300
main_weak_label,benchmark_existing_score,weak_label_7d,anomaly_ensemble_score,11487,300,0.026116479498563595,0.09541133897945003,0.6652045529036679,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.08703220191470844,0.3333333333333333,3.3324630113141858,100,300
main_weak_label,benchmark_existing_score,weak_label_7d,anomaly_ensemble_score,11487,300,0.026116479498563595,0.09541133897945003,0.6652045529036679,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.053983456682629515,0.41333333333333333,2.067026556377884,124,300
main_weak_label,ablation,weak_label_7d,score_baseline_all_lfs,11487,300,0.026116479498563595,0.0971534705466354,0.6287537618068593,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.28695652173913044,0.11,10.987565217391305,33,300
main_weak_label,ablation,weak_label_7d,score_baseline_all_lfs,11487,300,0.026116479498563595,0.0971534705466354,0.6287537618068593,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.13066202090592335,0.25,5.003048780487805,75,300
main_weak_label,ablation,weak_label_7d,score_baseline_all_lfs,11487,300,0.026116479498563595,0.0971534705466354,0.6287537618068593,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.08877284595300261,0.34,3.39911227154047,102,300
main_weak_label,ablation,weak_label_7d,score_baseline_all_lfs,11487,300,0.026116479498563595,0.0971534705466354,0.6287537618068593,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.04919460165433174,0.37666666666666665,1.8836612973443623,113,300
main_weak_label,ablation,weak_label_7d,score_component_chain_tvl_context,11487,300,0.026116479498563595,0.051686531872801214,0.5346597240845028,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.13043478260869565,0.05,4.9943478260869565,15,300
main_weak_label,ablation,weak_label_7d,score_component_chain_tvl_context,11487,300,0.026116479498563595,0.051686531872801214,0.5346597240845028,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.07317073170731707,0.14,2.8017073170731703,42,300
main_weak_label,ablation,weak_label_7d,score_component_chain_tvl_context,11487,300,0.026116479498563595,0.051686531872801214,0.5346597240845028,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.06353350739773717,0.24333333333333335,2.432697998259356,73,300
main_weak_label,ablation,weak_label_7d,score_component_chain_tvl_context,11487,300,0.026116479498563595,0.051686531872801214,0.5346597240845028,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.048759251197213756,0.37333333333333335,1.8669917283413147,112,300
main_weak_label,ablation,weak_label_7d,score_component_defi_volume_context,11487,300,0.026116479498563595,0.05681563932271545,0.616193200440988,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.12173913043478261,0.04666666666666667,4.661391304347826,14,300
main_weak_label,ablation,weak_label_7d,score_component_defi_volume_context,11487,300,0.026116479498563595,0.05681563932271545,0.616193200440988,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.09581881533101046,0.18333333333333332,3.6689024390243903,55,300
